V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
59501 2007 4 25 10136 10155 10096 204 219 195 188 78 70 27 32766 25 17 40 2 71 2 0 
59501 2007 4 26 10154 10173 10130 218 259 186 189 74 44 0 32766 36 21 49 6 76 6 90 
59501 2007 4 27 10146 10169 10120 234 281 204 204 72 48 0 32766 42 23 48 6 68 6 49 
59501 2007 4 28 10133 10150 10107 226 259 207 217 79 64 0 32766 41 34 57 6 90 5 32 
59501 2007 4 29 10124 10142 10105 224 257 211 224 83 64 8 32766 20 21 53 5 93 5 0 
59501 2007 4 30 10113 10134 10095 231 255 218 252 89 79 25 32766 9 13 31 12 41 12 0 
59501 2007 5 1 10116 10134 10097 248 297 213 227 74 42 32700 32766 29 12 42 11 64 10 82 
59501 2007 5 2 10110 10133 10082 243 297 209 224 75 47 0 32766 40 16 32 12 51 5 89 
59501 2007 5 3 10102 10123 10083 247 295 197 222 72 38 0 32766 40 17 40 11 61 10 62 
59501 2007 5 4 10092 10107 10075 236 264 218 250 86 72 51 32766 6 11 23 1 39 16 0 
59501 2007 5 5 10063 10088 10046 228 245 216 256 92 84 216 32766 6 10 47 15 72 15 0 
59501 2007 5 6 10057 10070 10045 248 299 220 227 75 35 0 32766 40 12 45 1 80 1 50 
59501 2007 5 7 10077 10091 10059 248 310 190 213 70 35 0 32766 45 17 53 6 89 5 94 
59501 2007 5 8 10101 10118 10086 244 297 202 209 69 38 0 32766 51 25 55 6 86 6 85 
59501 2007 5 9 10108 10120 10096 252 286 219 224 71 56 0 32766 52 24 58 6 92 6 99 
59501 2007 5 10 10107 10121 10089 266 300 233 184 55 28 0 32766 75 31 64 5 104 6 96 
59501 2007 5 11 10114 10130 10094 251 294 213 212 67 35 0 32766 72 35 57 5 90 5 104 
59501 2007 5 12 10111 10128 10088 257 297 221 231 71 51 0 32766 36 22 51 11 76 11 95 
59501 2007 5 13 10116 10129 10103 253 282 233 250 78 67 0 32766 43 32 62 6 101 6 70 
59501 2007 5 14 10115 10132 10094 251 286 217 245 77 63 0 32766 42 19 45 5 68 5 88 
59501 2007 5 15 10103 10122 10083 261 291 235 264 79 61 0 32766 45 19 48 12 68 12 98 
59501 2007 5 16 10084 10106 10055 268 289 248 290 83 74 0 32766 41 41 69 11 101 10 91 
59501 2007 5 17 10075 10094 10055 273 309 230 238 66 53 3 32766 53 15 45 11 61 6 108 
59501 2007 5 18 10065 10081 10035 265 295 241 297 86 74 60 32766 40 30 84 16 133 16 51 
59501 2007 5 19 10087 10116 10066 245 284 204 250 82 65 221 32766 63 22 63 5 109 6 5 
59501 2007 5 20 10071 10113 10043 209 219 205 236 95 89 925 32766 32 21 46 5 86 5 0 
59501 2007 5 21 10052 10073 10038 223 246 208 248 92 81 366 32766 0 18 37 6 74 3 0 
59501 2007 5 22 10039 10059 10027 233 241 226 274 96 94 255 32766 0 16 31 4 57 3 0 
59501 2007 5 23 10028 10047 10005 258 284 237 311 94 87 133 32766 0 14 48 10 75 10 0 
59501 2007 5 24 10017 10032 10004 279 301 260 336 90 80 32700 32766 20 28 67 10 96 11 59 
59501 2007 5 25 10032 10044 10014 285 305 272 338 87 77 0 32766 28 47 60 10 90 11 98 
